City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
376,hoeselt,50.8478,5.4858,11.95,39,3,0.49,BE,1680715893
377,mani,4.8172,-72.2886,36.79,28,85,3.66,CO,1680715894
378,balgazyn,51.0,95.2,-7.63,87,4,1.28,RU,1680715894
379,bayji,34.9311,43.487,22.56,30,41,7.78,IQ,1680715895
380,luanda,-8.8368,13.2343,28.0,78,40,4.12,AO,1680715763
381,vaitape,-16.5167,-151.75,28.01,67,69,3.23,PF,1680715896
382,baraya,3.1533,-75.0531,29.89,47,100,1.66,CO,1680715897
383,falun,60.6036,15.626,2.23,92,79,3.55,SE,1680715897
384,san matias,-16.3667,-58.4,31.0,57,74,2.45,BO,1680715898
385,slave lake,55.2834,-114.769,1.99,75,100,4.12,CA,1680715898
386,tairua,-37.0167,175.85,13.36,88,100,1.29,NZ,1680715898
387,coolum beach,-26.5333,153.1,20.06,86,57,3.78,AU,1680715899
388,ulaanbaatar,47.9077,106.8832,-6.93,45,0,3.0,MN,1680715899
389,arraial do cabo,-22.9661,-42.0278,30.98,61,0,6.17,BR,1680715899
390,qorveh,35.1664,47.8045,11.19,39,15,3.5,IR,1680715900
391,porbandar,21.6422,69.6093,25.17,73,82,4.14,IN,1680715900
392,ratnagiri,16.9833,73.3,25.74,79,2,4.46,IN,1680715900
393,moussoro,13.6408,16.4901,34.7,9,94,4.66,TD,1680715900
394,camalu,30.85,-116.0667,15.24,41,84,2.9,MX,1680715901
395,buala,-8.145,159.5921,26.44,83,100,0.79,SB,1680715901
396,norman wells,65.282,-126.8329,-6.98,63,75,3.09,CA,1680715901
397,calabozo,8.9242,-67.4293,36.23,26,77,3.71,VE,1680715902
398,sur,22.5667,59.5289,25.24,58,2,2.1,OM,1680715552
399,gamba,-2.65,10.0,26.71,81,77,4.24,GA,1680715902
400,otane,-39.8833,176.6333,9.62,89,82,1.23,NZ,1680715902
401,pacific grove,36.6177,-121.9166,11.9,69,20,4.47,US,1680715903
402,dunedin,-45.8742,170.5036,9.38,57,54,8.16,NZ,1680715903
403,progreso,21.2833,-89.6667,33.06,44,100,4.33,MX,1680715710
404,mwense,-10.3845,28.698,19.79,97,98,1.98,ZM,1680715903
405,balclutha,-46.2339,169.75,9.22,64,32,4.96,NZ,1680715904
406,severnoye,56.3491,78.3619,-1.83,96,95,3.48,RU,1680715904
407,binzhou,37.3667,118.0167,5.23,83,75,3.0,CN,1680715904
408,dongli,23.5656,116.8194,20.99,100,75,3.0,CN,1680715905
409,bahia de caraquez,-0.6,-80.4167,30.1,72,95,3.07,EC,1680715905
410,sinnamary,5.3833,-52.95,27.38,63,93,4.6,GF,1680715905
411,hueyapan,18.8667,-98.6667,23.1,25,34,3.61,MX,1680715905
412,hirara,24.8,125.2833,23.15,73,100,4.12,JP,1680715906
413,kropotkin,45.4375,40.5756,12.03,85,100,2.57,RU,1680715906
414,charters towers,-20.1,146.2667,23.32,88,92,4.08,AU,1680715907
415,haradok,55.4624,29.9816,6.46,93,100,4.84,BY,1680715907
416,jinchang,38.4953,102.1739,0.34,31,0,2.37,CN,1680715907
417,manitouwadge,49.1215,-85.8403,-4.85,92,100,7.92,CA,1680715907
418,taltal,-25.4,-70.4833,22.54,73,23,2.59,CL,1680715908
419,nerchinskiy zavod,51.3088,119.61,-4.46,87,99,0.86,RU,1680715908
420,broken hill,-31.95,141.4333,22.87,27,99,2.7,AU,1680715894
421,goderich,43.7501,-81.7165,13.84,94,100,1.54,CA,1680715377
422,odweyne,9.4092,45.064,26.91,49,89,3.05,SO,1680715909
423,kebumen,-7.6687,109.6519,25.49,83,79,0.87,ID,1680715909
424,makakilo city,21.3469,-158.0858,23.44,74,0,6.17,US,1680715811
425,rochelle,46.25,-1.0,11.64,66,0,5.66,FR,1680715910
426,priladozhskiy,59.85,31.4833,1.63,97,100,2.62,RU,1680715910
427,deputatskiy,69.3,139.9,-17.53,96,100,1.88,RU,1680715911
428,victoria,22.2855,114.1577,27.03,93,41,3.22,HK,1680715716
429,nicoya,10.1483,-85.452,34.9,36,9,4.63,CR,1680715528
430,zitacuaro,19.4372,-100.358,27.39,24,43,4.0,MX,1680715971
431,port-cartier,50.0334,-66.8654,-1.25,61,57,2.72,CA,1680715972
432,verkhnyaya inta,65.9811,60.3094,-14.34,92,100,6.23,RU,1680715972
433,borovichi,58.3878,33.9155,3.75,86,97,3.87,RU,1680715972
434,san quintin,30.4833,-115.95,15.2,41,69,3.04,MX,1680715972
435,galle,6.0367,80.217,26.5,79,57,1.63,LK,1680715973
436,mazyr,52.0495,29.2456,2.13,98,100,4.86,BY,1680715973
437,roebourne,-20.7833,117.1333,28.29,66,41,5.31,AU,1680715847
438,mayumba,-3.432,10.6554,26.81,83,83,3.69,GA,1680715974
439,beloha,-25.1667,45.05,24.41,86,63,5.66,MG,1680715974
440,malakal,9.5334,31.6605,34.47,13,86,2.34,SS,1680715975
441,iranshahr,27.2025,60.6848,27.19,12,20,4.12,IR,1680715975
442,marfino,55.7028,37.3822,10.09,70,0,5.0,RU,1680715975
443,flin flon,54.7682,-101.865,-3.09,33,40,2.06,CA,1680715976
444,hebi,35.8992,114.1925,10.1,77,88,2.57,CN,1680715976
445,meulaboh,4.1363,96.1285,24.45,86,96,1.48,ID,1680715976
446,kanniyakumari,8.0833,77.5667,27.52,75,3,4.42,IN,1680715976
447,thai binh,20.45,106.3333,24.5,89,73,3.04,VN,1680715977
448,ketchikan,55.3422,-131.6461,4.26,87,100,7.2,US,1680715914
449,bodden town,19.2833,-81.25,29.44,65,40,4.63,KY,1680715978
450,gallup,35.5281,-108.7426,-0.58,40,0,1.79,US,1680715978
451,hailar,49.2,119.7,0.94,44,97,1.82,CN,1680715978
452,ambilobe,-13.2,49.05,23.43,94,99,0.99,MG,1680715979
453,abha,18.2164,42.5053,16.9,88,40,4.12,SA,1680715849
454,kez,57.8979,53.7152,6.52,93,77,3.16,RU,1680715979
455,nassau,40.7507,-73.5829,11.66,84,100,7.2,US,1680715980
456,kurmanayevka,52.5093,52.0675,11.59,48,24,1.68,RU,1680715980
457,chau doc,10.7,105.1167,27.89,70,49,2.62,VN,1680715980
458,challans,46.8436,-1.8749,13.51,81,100,2.95,FR,1680715981
459,sept-iles,50.2001,-66.3821,-1.08,36,75,3.6,CA,1680715923
460,tonekabon,36.8163,50.8738,13.97,54,0,2.64,IR,1680715981
461,santo antonio do sudoeste,-26.0736,-53.7253,26.91,53,100,2.43,BR,1680715981
462,taoudenni,22.6783,-3.9836,32.14,11,45,7.7,ML,1680715982
463,suntar,62.1444,117.6319,-27.3,99,23,1.94,RU,1680715983
464,alice springs,-23.7,133.8833,23.45,70,88,0.45,AU,1680715810
465,jonesboro,35.8423,-90.7043,17.9,82,100,11.32,US,1680715811
466,mantenopolis,-18.8625,-41.1228,27.91,56,76,2.7,BR,1680715984
467,mangrol,21.1167,70.1167,24.99,76,50,4.56,IN,1680715985
468,mpika,-11.8343,31.4529,16.68,98,90,2.88,ZM,1680715986
469,biak,-0.9131,122.8766,24.67,81,100,0.92,ID,1680715987
470,orange walk,17.8333,-88.8333,33.64,34,0,5.76,BZ,1680715987
471,porto novo,6.4965,2.6036,29.9,74,100,4.52,BJ,1680715989
472,benalla,-36.55,145.9833,16.83,70,79,2.31,AU,1680715990
473,khuzhir,53.1939,107.3397,-9.76,77,13,3.27,RU,1680715990
